INFO [2018-03-04 12:38:13] Info in class 'Document', method 'initialize. Document object, lunch, instantiated.
INFO [2018-03-04 12:38:13] Info in class 'Text', method 'initialize. Text object, lunch, instantiated.
INFO [2018-03-04 12:38:52] Info in class 'Document', method 'initialize. Document object, lunch, instantiated.
INFO [2018-03-04 12:38:52] Info in class 'Text', method 'initialize. Text object, lunch, instantiated.
INFO [2018-03-04 12:40:06] Info in class 'Document', method 'initialize. Document object, lunch, instantiated.
INFO [2018-03-04 12:40:06] Info in class 'Text', method 'initialize. Text object, lunch, instantiated.
INFO [2018-03-04 12:45:29] Info in class 'Document', method 'initialize. Document object, lunch, instantiated.
INFO [2018-03-04 12:45:29] Info in class 'Text', method 'initialize. Text object, lunch, instantiated.
INFO [2018-03-04 12:47:56] Info in class 'Document', method 'initialize. Document object, lunch, instantiated.
INFO [2018-03-04 12:47:56] Info in class 'Text', method 'initialize. Text object, lunch, instantiated.
INFO [2018-03-04 12:47:56] Info in class 'Document', method 'attach. Attached lunch object to lunch.
INFO [2018-03-04 22:17:54] Info in class 'Text', method 'initialize. Text object, lunch, instantiated.
INFO [2018-03-04 22:18:11] Info in class 'Text', method 'initialize. Text object, lunch, instantiated.
INFO [2018-03-04 22:18:27] Info in class 'Text', method 'initialize. Text object, lunch, instantiated.
INFO [2018-03-05 01:23:36] Info in class 'Document', method 'initialize. Document object, lunch, instantiated.
